[size=4][b]Flake [AltLo1][/B][/SIZE][spoiler=Show AltLo1 Orbits][code]

              Altitude                Inc.       Orbital   Time to Scan          Eff.  Swath  Resolution
  UEQx Sidelap  Ideal     +/- Error               Period      Total    +/- Error  FOV   Width (deg)   (km)
====================================================================================================================
    37    31 (1.08)    8.225 km +/- 0.01 km (0.00°)  16h 37.3m   257h 38.0m +/- 22.7m (3.1°)  13 m (0.06°) 2.20 m
    41    35 (1.16)    8.007 km +/- 0.01 km (0.00°)  16h 05.8m   281h 40.9m +/- 19.0m (3.0°)  12 m (0.06°) 2.08 m
    43    37 (1.20)    7.914 km +/- 0.01 km (0.00°)  15h 52.4m   293h 39.5m +/- 17.3m (2.9°)  12 m (0.06°) 2.04 m
    36    31 (1.00)    7.905 km +/- 0.01 km (0.00°)  15h 50.9m   245h 38.8m +/- 22.3m (2.9°)  12 m (0.06°) 2.03 m
    37    32 (1.02)    7.855 km +/- 0.01 km (0.00°)  15h 43.8m   251h 41.4m +/- 17.2m (2.9°)  11 m (0.06°) 2.00 m
    38    33 (1.04)    7.808 km +/- 0.01 km (0.00°)  15h 37.1m   257h 42.0m +/- 16.6m (2.9°)  11 m (0.06°) 1.98 m
    39    34 (1.06)    7.763 km +/- 0.01 km (0.00°)  15h 30.6m   263h 41.0m +/- 20.7m (2.9°)  11 m (0.06°) 1.96 m
    41    36 (1.10)    7.680 km +/- 0.01 km (0.00°)  15h 18.9m   275h 39.7m +/- 18.0m (2.9°)  11 m (0.05°) 1.92 m
    42    37 (1.12)    7.642 km +/- 0.01 km (0.00°)  15h 13.6m   281h 41.7m +/- 13.2m (2.8°)  11 m (0.05°) 1.90 m
    43    38 (1.14)    7.607 km +/- 0.00 km (0.00°)  15h 08.7m   287h 45.4m +/- 10.8m (2.8°)  11 m (0.05°) 1.88 m
    44    39 (1.16)    7.572 km +/- 0.01 km (0.00°)  15h 03.7m   293h 41.6m +/- 16.6m (2.8°)  11 m (0.05°) 1.86 m
    46    41 (1.19)    7.508 km +/- 0.01 km (0.00°)  14h 54.6m   305h 39.8m +/- 15.9m (2.8°)  10 m (0.05°) 1.83 m
    47    42 (1.21)    7.478 km +/- 0.00 km (0.00°)  14h 50.5m   311h 41.2m +/- 05.9m (2.8°)  10 m (0.05°) 1.82 m
    48    43 (1.23)    7.452 km +/- 0.00 km (0.00°)  14h 46.9m   317h 49.2m +/- 04.5m (2.8°)  10 m (0.05°) 1.80 m
    41    37 (1.04)    7.367 km +/- 0.01 km (0.00°)  14h 34.6m   269h 39.8m +/- 18.1m (2.7°)  10 m (0.05°) 1.76 m
    43    39 (1.08)    7.311 km +/- 0.01 km (0.00°)  14h 26.7m   281h 41.6m +/- 17.7m (2.7°)  10 m (0.05°) 1.74 m
    45    41 (1.12)    7.258 km +/- 0.01 km (0.00°)  14h 19.5m   293h 39.6m +/- 15.7m (2.7°)  10 m (0.05°) 1.71 m
    47    43 (1.15)    7.212 km +/- 0.01 km (0.00°)  14h 13.1m   305h 41.5m +/- 16.4m (2.7°)  10 m (0.05°) 1.69 m
    49    45 (1.19)    7.168 km +/- 0.00 km (0.00°)  14h 07.1m   317h 40.3m +/- 14.0m (2.7°)  10 m (0.05°) 1.67 m
    51    47 (1.23)    7.130 km +/- 0.00 km (0.00°)  14h 01.8m   329h 42.1m +/- 13.0m (2.6°)   9 m (0.05°) 1.65 m
    43    40 (1.02)    7.024 km +/- 0.01 km (0.00°)  13h 47.0m   275h 39.3m +/- 17.9m (2.6°)   9 m (0.05°) 1.60 m
    44    41 (1.04)    7.005 km +/- 0.01 km (0.00°)  13h 44.5m   281h 42.1m +/- 16.9m (2.6°)   9 m (0.05°) 1.59 m
    46    43 (1.08)    6.968 km +/- 0.01 km (0.00°)  13h 39.5m   293h 38.9m +/- 16.2m (2.6°)   9 m (0.05°) 1.58 m
    47    44 (1.10)    6.953 km +/- 0.01 km (0.00°)  13h 37.4m   299h 41.9m +/- 16.6m (2.6°)   9 m (0.04°) 1.57 m
    49    46 (1.14)    6.921 km +/- 0.00 km (0.00°)  13h 33.0m   311h 40.1m +/- 14.2m (2.6°)   9 m (0.04°) 1.55 m
    50    47 (1.16)    6.907 km +/- 0.00 km (0.00°)  13h 31.1m   317h 41.6m +/- 14.5m (2.6°)   9 m (0.04°) 1.55 m
    52    49 (1.20)    6.878 km +/- 0.00 km (0.00°)  13h 27.3m   329h 39.1m +/- 13.4m (2.6°)   9 m (0.04°) 1.54 m
    53    50 (1.22)    6.867 km +/- 0.00 km (0.00°)  13h 25.7m   335h 41.8m +/- 13.6m (2.5°)   9 m (0.04°) 1.53 m
    45    43 (1.00)    6.723 km +/- 0.00 km (0.00°)  13h 06.5m   281h 48.9m +/- 02.9m (2.5°)   8 m (0.04°) 1.47 m
    48    47 (1.01)    6.452 km +/- 0.00 km (0.00°)  12h 29.9m   293h 42.6m +/- 12.5m (2.4°)   8 m (0.04°) 1.35 m
    49    48 (1.03)    6.448 km +/- 0.00 km (0.00°)  12h 29.2m   299h 41.5m +/- 14.4m (2.4°)   8 m (0.04°) 1.35 m
    50    49 (1.05)    6.443 km +/- 0.00 km (0.00°)  12h 28.6m   305h 41.5m +/- 13.0m (2.4°)   8 m (0.04°) 1.35 m
    51    50 (1.07)    6.439 km +/- 0.00 km (0.00°)  12h 28.1m   311h 42.5m +/- 11.6m (2.4°)   8 m (0.04°) 1.35 m
    52    51 (1.09)    6.434 km +/- 0.00 km (0.00°)  12h 27.5m   317h 41.3m +/- 13.6m (2.4°)   8 m (0.04°) 1.34 m
    53    52 (1.11)    6.431 km +/- 0.00 km (0.00°)  12h 27.0m   323h 41.2m +/- 12.1m (2.4°)   8 m (0.04°) 1.34 m
    54    53 (1.13)    6.426 km +/- 0.00 km (0.00°)  12h 26.5m   329h 42.4m +/- 10.6m (2.4°)   8 m (0.04°) 1.34 m
    55    54 (1.15)    6.423 km +/- 0.00 km (0.00°)  12h 26.0m   335h 41.3m +/- 12.6m (2.4°)   8 m (0.04°) 1.34 m
    56    55 (1.17)    6.419 km +/- 0.00 km (0.00°)  12h 25.5m   341h 41.5m +/- 11.0m (2.4°)   8 m (0.04°) 1.34 m
    57    56 (1.19)    6.415 km +/- 0.00 km (0.00°)  12h 25.0m   347h 41.2m +/- 11.2m (2.4°)   8 m (0.04°) 1.34 m
    58    57 (1.21)    6.412 km +/- 0.00 km (0.00°)  12h 24.6m   353h 40.5m +/- 11.4m (2.4°)   8 m (0.04°) 1.33 m
    59    58 (1.23)    6.409 km +/- 0.00 km (0.00°)  12h 24.2m   359h 41.2m +/- 09.6m (2.4°)   8 m (0.04°) 1.33 m
    60    59 (1.25)    6.405 km +/- 0.00 km (0.00°)  12h 23.8m   365h 41.6m +/- 03.9m (2.4°)   8 m (0.04°) 1.33 m
    65    66 (1.25)    6.054 km +/- 0.00 km (14.14°)  11h 37.6m   383h 41.2m +/- 08.6m (2.2°)   7 m (0.03°) 1.19 m
    64    65 (1.23)    6.051 km +/- 0.00 km (14.25°)  11h 37.3m   377h 41.8m +/- 08.4m (2.2°)   7 m (0.03°) 1.19 m
    63    64 (1.21)    6.049 km +/- 0.00 km (14.35°)  11h 36.9m   371h 40.7m +/- 10.4m (2.2°)   7 m (0.03°) 1.19 m
    62    63 (1.19)    6.046 km +/- 0.00 km (14.48°)  11h 36.6m   365h 42.1m +/- 08.2m (2.2°)   7 m (0.03°) 1.19 m
    61    62 (1.17)    6.043 km +/- 0.00 km (14.58°)  11h 36.2m   359h 41.7m +/- 10.1m (2.2°)   7 m (0.03°) 1.18 m
    60    61 (1.15)    6.040 km +/- 0.00 km (14.70°)  11h 35.8m   353h 41.7m +/- 09.9m (2.2°)   7 m (0.03°) 1.18 m
    59    60 (1.13)    6.037 km +/- 0.00 km (14.82°)  11h 35.4m   347h 42.1m +/- 09.7m (2.2°)   7 m (0.03°) 1.18 m
    58    59 (1.11)    6.034 km +/- 0.00 km (14.96°)  11h 35.0m   341h 41.0m +/- 11.5m (2.2°)   7 m (0.03°) 1.18 m
    57    58 (1.09)    6.031 km +/- 0.00 km (15.08°)  11h 34.6m   335h 42.3m +/- 09.4m (2.2°)   7 m (0.03°) 1.18 m
    56    57 (1.07)    6.027 km +/- 0.00 km (15.22°)  11h 34.1m   329h 42.0m +/- 11.1m (2.2°)   7 m (0.03°) 1.18 m
    55    56 (1.05)    6.024 km +/- 0.00 km (15.36°)  11h 33.7m   323h 42.3m +/- 10.9m (2.2°)   7 m (0.03°) 1.18 m
    54    55 (1.03)    6.021 km +/- 0.00 km (15.49°)  11h 33.2m   317h 43.0m +/- 10.7m (2.2°)   7 m (0.03°) 1.18 m
    53    54 (1.01)    6.017 km +/- 0.00 km (15.63°)  11h 32.7m   311h 42.4m +/- 12.3m (2.2°)   7 m (0.03°) 1.17 m
    61    65 (1.03)    5.532 km +/- 0.00 km (28.71°)  10h 31.1m   341h 50.2m +/- 02.0m (2.1°)   6 m (0.03°) 0.99 m
    66    71 (1.08)    5.431 km +/- 0.00 km (30.76°)  10h 18.2m   365h 47.7m +/- 02.2m (2.0°)   5 m (0.03°) 0.96 m
    64    69 (1.04)    5.405 km +/- 0.00 km (31.24°)  10h 15.1m   353h 41.9m +/- 04.3m (2.0°)   5 m (0.03°) 0.95 m
    73    79 (1.17)    5.367 km +/- 0.00 km (31.98°)  10h 10.3m   401h 48.3m +/- 00.0m (2.0°)   5 m (0.03°) 0.93 m
    71    77 (1.13)    5.342 km +/- 0.00 km (32.44°)  10h 07.3m   389h 40.8m +/- 02.4m (2.0°)   5 m (0.03°) 0.93 m
    67    73 (1.05)    5.293 km +/- 0.00 km (33.32°)  10h 01.2m   365h 42.5m +/- 09.0m (2.0°)   5 m (0.03°) 0.91 m
    78    85 (1.23)    5.292 km +/- 0.00 km (33.34°)  10h 01.1m   425h 46.8m +/- 00.0m (2.0°)   5 m (0.03°) 0.91 m
    76    83 (1.19)    5.268 km +/- 0.00 km (33.78°)   9h 58.1m   413h 40.1m +/- 02.6m (2.0°)   5 m (0.03°) 0.90 m
    65    71 (1.02)    5.266 km +/- 0.00 km (33.80°)   9h 57.8m   353h 42.9m +/- 06.6m (2.0°)   5 m (0.03°) 0.90 m
    71    78 (1.09)    5.205 km +/- 0.00 km (34.86°)   9h 50.3m   383h 42.3m +/- 07.2m (1.9°)   5 m (0.03°) 0.88 m
    81    89 (1.24)    5.204 km +/- 0.00 km (34.89°)   9h 50.2m   437h 43.5m +/- 02.7m (1.9°)   5 m (0.03°) 0.88 m
    79    87 (1.20)    5.179 km +/- 0.00 km (35.31°)   9h 47.1m   425h 39.8m +/- 05.3m (1.9°)   5 m (0.02°) 0.87 m
    69    76 (1.05)    5.178 km +/- 0.00 km (35.33°)   9h 46.9m   371h 41.3m +/- 07.0m (1.9°)   5 m (0.02°) 0.87 m
    73    81 (1.09)    5.099 km +/- 0.00 km (36.63°)   9h 37.3m   389h 42.0m +/- 07.4m (1.9°)   5 m (0.02°) 0.84 m
    82    91 (1.22)    5.098 km +/- 0.00 km (36.66°)   9h 37.2m   437h 40.4m +/- 05.6m (1.9°)   5 m (0.02°) 0.84 m
    80    89 (1.18)    5.072 km +/- 0.00 km (37.08°)   9h 34.0m   425h 42.2m +/- 05.4m (1.9°)   5 m (0.02°) 0.83 m
    71    79 (1.05)    5.070 km +/- 0.00 km (37.10°)   9h 33.7m   377h 42.7m +/- 07.2m (1.9°)   5 m (0.02°) 0.83 m

A single-pass polar orbit exists! Orbit at exactly 90 degrees inclination.
Sidelap    Altitude   Time to Scan  Swath   Resolution
------------------------------------------------------
  0%      19.930 km    52h 14.9m    082.6  0.4d 14.422 m
  5%      20.000 km    52h 30.0m    083.4  0.4d 14.5532 m
 10%      20.000 km    52h 30.0m    083.4  0.4d 14.5532 m
 30%      20.000 km    52h 30.0m    083.4  0.4d 14.5532 m
 50%      20.000 km    52h 30.0m    083.4  0.4d 14.5532 m

[/code][/spoiler]

[size=4][b]Flake [ResLo0][/B][/SIZE][spoiler=Show ResLo0 Orbits][code]

              Altitude                Inc.       Orbital   Time to Scan          Eff.  Swath  Resolution
  UEQx Sidelap  Ideal     +/- Error               Period      Total    +/- Error  FOV   Width (deg)   (km)
====================================================================================================================
    51    19 (1.10)   19.968 km +/- 0.01 km (0.00°)  52h 21.9m   497h 27.6m +/- 26.5m (2.1°)  21 m (0.10°) 3.64 m
    53    20 (1.13)   19.738 km +/- 0.01 km (0.00°)  51h 32.6m   515h 26.2m +/- 27.8m (2.1°)  20 m (0.10°) 3.56 m
    50    19 (1.06)   19.614 km +/- 0.01 km (0.00°)  51h 06.2m   485h 28.8m +/- 26.3m (2.0°)  20 m (0.10°) 3.51 m
    55    21 (1.16)   19.529 km +/- 0.01 km (0.00°)  50h 48.1m   533h 25.2m +/- 27.9m (2.0°)  20 m (0.10°) 3.48 m
    57    22 (1.19)   19.338 km +/- 0.01 km (0.00°)  50h 07.6m   551h 24.0m +/- 29.1m (2.0°)  20 m (0.10°) 3.41 m
    49    19 (1.02)   19.257 km +/- 0.01 km (0.00°)  49h 50.4m   473h 28.9m +/- 26.1m (2.0°)  19 m (0.10°) 3.38 m
    59    23 (1.23)   19.163 km +/- 0.01 km (0.00°)  49h 30.6m   569h 21.8m +/- 29.1m (2.0°)  19 m (0.10°) 3.35 m
    51    20 (1.05)   19.059 km +/- 0.01 km (0.00°)  49h 08.8m   491h 28.2m +/- 27.3m (2.0°)  19 m (0.09°) 3.31 m
    53    21 (1.09)   18.880 km +/- 0.01 km (0.00°)  48h 31.1m   509h 26.4m +/- 28.6m (2.0°)  19 m (0.09°) 3.25 m
    58    23 (1.19)   18.866 km +/- 0.01 km (0.00°)  48h 28.3m   557h 25.0m +/- 30.1m (2.0°)  19 m (0.09°) 3.25 m
    57    23 (1.15)   18.565 km +/- 0.01 km (0.00°)  47h 25.5m   545h 23.7m +/- 29.8m (1.9°)  18 m (0.09°) 3.14 m
    52    21 (1.05)   18.551 km +/- 0.01 km (0.00°)  47h 22.5m   497h 26.6m +/- 29.4m (1.9°)  18 m (0.09°) 3.14 m
    59    24 (1.18)   18.427 km +/- 0.01 km (0.00°)  46h 57.2m   563h 27.0m +/- 22.4m (1.9°)  18 m (0.09°) 3.10 m
    61    25 (1.21)   18.298 km +/- 0.01 km (0.00°)  46h 30.5m   581h 21.2m +/- 28.4m (1.9°)  17 m (0.09°) 3.05 m
    56    23 (1.11)   18.264 km +/- 0.01 km (0.00°)  46h 23.2m   533h 26.5m +/- 29.6m (1.9°)  17 m (0.09°) 3.04 m
    63    26 (1.25)   18.180 km +/- 0.01 km (0.00°)  46h 06.3m   599h 21.8m +/- 26.7m (1.9°)  17 m (0.09°) 3.01 m
    53    22 (1.04)   18.083 km +/- 0.01 km (0.00°)  45h 46.1m   503h 26.6m +/- 29.3m (1.9°)  17 m (0.09°) 2.98 m
    55    23 (1.07)   17.957 km +/- 0.01 km (0.00°)  45h 20.3m   521h 24.0m +/- 29.4m (1.9°)  17 m (0.08°) 2.94 m
    64    27 (1.24)   17.810 km +/- 0.01 km (0.00°)  44h 50.5m   605h 22.3m +/- 26.1m (1.9°)  17 m (0.08°) 2.89 m
    59    25 (1.14)   17.738 km +/- 0.01 km (0.00°)  44h 35.9m   557h 28.6m +/- 21.6m (1.8°)  16 m (0.08°) 2.87 m
    54    23 (1.04)   17.651 km +/- 0.01 km (0.00°)  44h 18.0m   509h 27.1m +/- 29.2m (1.8°)  16 m (0.08°) 2.84 m
    61    26 (1.17)   17.640 km +/- 0.01 km (0.00°)  44h 15.9m   575h 26.4m +/- 26.4m (1.8°)  16 m (0.08°) 2.83 m
    65    28 (1.24)   17.463 km +/- 0.01 km (0.00°)  43h 40.2m   611h 23.4m +/- 25.5m (1.8°)  16 m (0.08°) 2.78 m
    58    25 (1.10)   17.453 km +/- 0.01 km (0.00°)  43h 37.9m   545h 24.0m +/- 27.8m (1.8°)  16 m (0.08°) 2.77 m
    53    23 (1.00)   17.341 km +/- 0.01 km (0.00°)  43h 15.5m   497h 28.7m +/- 24.3m (1.8°)  16 m (0.08°) 2.74 m
    62    27 (1.17)   17.283 km +/- 0.01 km (0.00°)  43h 03.9m   581h 22.2m +/- 25.8m (1.8°)  16 m (0.08°) 2.72 m
    55    24 (1.03)   17.252 km +/- 0.01 km (0.00°)  42h 57.3m   515h 28.1m +/- 28.9m (1.8°)  16 m (0.08°) 2.71 m
    57    25 (1.07)   17.166 km +/- 0.01 km (0.00°)  42h 40.3m   533h 23.5m +/- 28.8m (1.8°)  15 m (0.08°) 2.68 m
    66    29 (1.23)   17.139 km +/- 0.01 km (0.00°)  42h 35.0m   617h 27.1m +/- 24.7m (1.8°)  15 m (0.08°) 2.67 m
